produto,producao_atual_mil_t,ranking,participacao_pct,participacao_acumulada_pct,atinge_80_pct
SOJA,177985.0,1,50.367042553437145,50.367042553437145,False
MILHO TOTAL,138448.2,2,39.17873068430923,89.54577323774637,True
ARROZ,10914.6,3,3.088665464245555,92.63443870199193,True
TRIGO,6904.799999999999,4,1.9539531725874244,94.58839187457934,True
SORGO,6694.5,5,1.894441477506447,96.48283335208579,True
ALGODÃO - CAROÇO (1),5394.4,6,1.526532990702932,98.00936634278872,True
FEIJÃO TOTAL,2966.1,7,0.839361097383206,98.84872744017193,True
AMENDOIM TOTAL,1203.3,8,0.3405155620111297,99.18924300218306,True
AVEIA,1146.7,9,0.3244986245808713,99.51374162676393,True
CEVADA,584.3000000000001,10,0.16534799541519413,99.67908962217912,True
CANOLA,446.5,11,0.12635269545248018,99.8054423176316,True
GERGELIM,399.4,12,0.11302411324461496,99.91846643087622,True
MAMONA,147.32000000000002,13,0.04168931488031217,99.96015574575654,True
GIRASSOL,102.5,14,0.029005937925821318,99.98916168368235,True
TRITICALE,33.6,15,0.009508287944464355,99.99866997162682,True
CENTEIO,4.7,16,0.001330028373184002,100.00000000000001,True
