tipo_linha,regiao_uf,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url
uf,BA,2024/25,2025/26,3941.2,4110.9,4.3,3555.262,3505.194,-1.4,14012,14409.5,2.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
regiao,CENTRO-OESTE,2024/25,2025/26,36724.5,37583.8,2.3,4881.992,4658.065,-4.6,179288.7,175067.8,-2.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,MT,2024/25,2025/26,22300.1,22748.3,2,5040.143,4795.466,-4.9,112395.7,109088.7,-2.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,MS,2024/25,2025/26,6645,6845.4,3,4303.446,4263.286,-0.9,28596.4,29183.9,2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,GO,2024/25,2025/26,7593,7803.1,2.8,4920.993,4598.57,-6.6,37365.1,35883.1,-4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,DF,2024/25,2025/26,186.4,187,0.3,4997.318,4877.54,-2.4,931.5,912.1,-2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
regiao,SUDESTE,2024/25,2025/26,6994,7172,2.5,4311.31,4282.669,-0.7,30153.3,30715.3,1.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,MG,2024/25,2025/26,4298,4398.5,2.3,4283.062,4280.255,-0.1,18408.6,18826.7,2.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,ES,2024/25,2025/26,25.2,25.6,1.6,2829.365,2660.156,-6,71.3,68.1,-4.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,RJ,2024/25,2025/26,2.8,2.6,-7.1,3285.714,3423.077,4.2,9.2,8.9,-3.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,SP,2024/25,2025/26,2668,2745.3,2.9,4371.889,4302.481,-1.6,11664.2,11811.6,1.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
regiao,SUL,2024/25,2025/26,22016.3,21833.3,-0.8,4030.7,4198.197,4.2,88741.1,91660.5,3.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,PR,2024/25,2025/26,9954.9,10052.9,1,4491.286,4456.963,-0.8,44710.3,44805.4,0.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,SC,2024/25,2025/26,1429,1444.4,1.1,5690.203,5494.531,-3.4,8131.3,7936.3,-2.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
uf,RS,2024/25,2025/26,10632.4,10336,-2.8,3376.425,3765.364,11.5,35899.5,38918.8,8.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
agregado_regional,NORTE/NORDESTE,2024/25,2025/26,16000,16668.8,4.2,3379.739,3355.51,-0.7,54075.82,55932.32,3.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
agregado_regional,CENTRO-SUL,2024/25,2025/26,65734.8,66589.1,1.3,4536.153,4466.851,-1.5,298183.1,297443.6,-0.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
total_brasil,BRASIL,2024/25,2025/26,81734.8,83257.9,1.9,4309.779,4244.353,-1.5,352258.92,353375.92,0.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
