tipo_linha,produto,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url
produto,Preto,2024/25,2025/26,286.6,253.9,-11.4,1616.1039776692253,1654.1476959432848,2.4,463.2,420.1,-9.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Caupi,2024/25,2025/26,818.9000000000001,816.5,-0.3,523.7133960190499,524.1143906919779,0.1,428.9,428.0,-0.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,FEIJÃO 3ª SAFRA,2024/25,2025/26,384.4,426.9,11.1,1726.4562955254944,1645.8824080580932,-4.7,663.7,702.6,5.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Cores,2024/25,2025/26,326.5,361.0,10.6,1881.1016845329248,1801.9163434903048,-4.2,614.2,650.5999999999999,5.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Preto,2024/25,2025/26,14.1,14.1,0.0,1268.1134751773052,1145.4326241134752,-9.7,17.900000000000002,16.2,-9.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Caupi,2024/25,2025/26,43.8,51.8,18.3,721.2260273972603,694.6872586872588,-3.7,31.599999999999998,36.0,13.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,GERGELIM,2024/25,2025/26,608.0,608.0,0.0,656.7940789473683,656.7940789473683,0.0,399.4,399.4,0.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,GIRASSOL,2024/25,2025/26,61.900000000000006,63.800000000000004,3.1,1622.1825525040385,1606.7570532915358,-1.0,100.4,102.5,2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,MAMONA,2024/25,2025/26,69.6,76.1,9.3,1437.1724137931035,1935.672798948752,34.7,100.02,147.32000000000002,47.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,MILHO TOTAL,2024/25,2025/26,21838.0,22525.6,3.1,6463.851909515524,6146.257586923323,-4.9,141157.6,138448.2,-1.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Milho 1ª Safra,2024/25,2025/26,3772.6000000000004,4043.7000000000003,7.2,6609.654959444413,6602.901352721517,-0.1,24935.8,26700.300000000003,7.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Milho 2ª Safra,2024/25,2025/26,17430.3,17894.100000000002,2.7,6496.067090067297,6106.075102966898,-6.0,113228.4,109262.7,-3.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Milho 3ª Safra,2024/25,2025/26,635.1,587.8,-7.4,4713.612816879231,4228.086423953727,-10.3,2993.6,2485.3,-17.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,SOJA,2024/25,2025/26,47346.1,48434.4,2.3,3621.8458880456883,3674.764064383992,1.5,171480.5,177985.0,3.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
