tipo_linha,produto,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url,variacao_area_pct_calc,variacao_produtividade_pct_calc,variacao_producao_pct_calc,participacao_producao_pct,crescimento_producao_mil_t,crescimento_area_mil_ha,crescimento_produtividade_kg_ha,classificacao_decomposicao,ranking_produto_producao
produto,Cores,2024/25,2025/26,347.3,331.90000000000003,-4.4,1706.774258566081,1801.684603796324,5.6,592.8000000000001,598.1,0.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-4.434206737690751,5.560802476009939,0.8940620782725969,0.16925318510667056,5.2999999999999545,-15.399999999999977,94.91034523024291,expansao por produtividade,24.0
produto,Preto,2024/25,2025/26,169.0,117.29999999999998,-30.6,1953.2763313609469,1701.141517476556,-12.9,330.2,199.5,-39.6,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-30.59171597633137,-12.908302314230975,-39.58207147183525,0.0564554596702571,-130.7,-51.70000000000002,-252.13481388439095,queda combinada,31.0
produto,Caupi,2024/25,2025/26,392.2000000000001,355.5,-9.4,356.2139214686384,477.52236286919833,34.1,139.7,169.7,21.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-9.357470678225418,34.054941171421945,21.474588403722265,0.04802251381475003,30.0,-36.7000000000001,121.30844140055996,expansao por produtividade,32.0
produto,FEIJÃO 2ª SAFRA,2024/25,2025/26,1400.1,1369.0,-2.2,952.5808156560246,946.8739956172388,-0.6,1333.6,1296.4,-2.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-2.2212699092921873,-0.5990903810985901,-2.789442111577671,0.366861443190583,-37.19999999999982,-31.09999999999991,-5.706820038785736,queda combinada,16.0
produto,Cores,2024/25,2025/26,294.6,298.6,1.4,1499.1992532247114,1501.4835900870733,0.2,441.6,448.2,1.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,1.357773251866938,0.15237046426273157,1.4945652173912967,0.12683376954490844,6.599999999999966,4.0,2.284336862361897,expansao combinada,26.0
produto,Preto,2024/25,2025/26,286.6,253.9,-11.4,1616.1039776692253,1654.1476959432848,2.4,463.2,420.1,-9.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-11.409630146545712,2.354039022224726,-9.304835924006902,0.11888189778182963,-43.099999999999966,-32.70000000000002,38.04371827405953,queda por area,29.0
produto,Caupi,2024/25,2025/26,818.9000000000001,816.5,-0.3,523.7133960190499,524.1143906919779,0.1,428.9,428.0,-0.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-0.2930760776651717,0.07656757989695384,-0.2098391233387683,0.12111747738781976,-0.8999999999999773,-2.400000000000091,0.40099467292793634,queda por area,28.0
produto,FEIJÃO 3ª SAFRA,2024/25,2025/26,384.4,426.9,11.1,1726.4562955254944,1645.8824080580932,-4.7,663.7,702.6,5.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,11.056191467221645,-4.667009971594808,5.8610818140726195,0.19882509255299569,38.89999999999998,42.5,-80.57388746740116,expansao por area,22.0
produto,Cores,2024/25,2025/26,326.5,361.0,10.6,1881.1016845329248,1801.9163434903048,-4.2,614.2,650.5999999999999,5.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,10.566615620214396,-4.209519437131415,5.926408336046868,0.18410988501989606,36.399999999999864,34.5,-79.18534104261994,expansao por area,23.0
produto,Preto,2024/25,2025/26,14.1,14.1,0.0,1268.1134751773052,1145.4326241134752,-9.7,17.900000000000002,16.2,-9.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.0,-9.674280217444815,-9.49720670391063,0.004584353116081028,-1.7000000000000028,0.0,-122.68085106383,queda por produtividade,37.0
