tipo_linha,regiao_uf,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url,variacao_area_pct_calc,variacao_produtividade_pct_calc,variacao_producao_pct_calc,participacao_producao_pct,crescimento_producao_mil_t,crescimento_area_mil_ha,crescimento_produtividade_kg_ha,classificacao_decomposicao,ranking_localidade_producao
uf,CE,2024/25,2025/26,938.7,935.5,-0.3,379.376,619.797,63.4,356.12,579.82,62.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-0.340896985192292,63.37274893509344,62.815904751207476,0.16408022368926556,223.70000000000005,-3.2000000000000455,240.42100000000005,expansao por produtividade,26.0
uf,RN,2024/25,2025/26,112.6,107.0,-5.0,273.535,391.589,43.2,30.8,41.9,36.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-4.973357015985785,43.15864514595937,36.038961038961034,0.011857061454555251,11.099999999999998,-5.599999999999994,118.05399999999997,expansao por produtividade,33.0
uf,PB,2024/25,2025/26,224.2,226.1,0.8,388.046,530.739,36.8,87.0,120.0,37.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.8474576271186467,36.77218680259558,37.93103448275862,0.03395817123022984,33.0,1.9000000000000057,142.69300000000004,expansao combinada,30.0
uf,PE,2024/25,2025/26,370.7,368.5,-0.6,947.127,930.258,-1.8,351.1,342.8,-2.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-0.5934718100890177,-1.7810705428099836,-2.3639988607234437,0.09700717581435657,-8.300000000000011,-2.1999999999999886,-16.868999999999915,queda combinada,27.0
uf,AL,2024/25,2025/26,59.3,59.9,1.0,3578.415,2666.11,-25.5,212.2,159.7,-24.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,1.0118043844856686,-25.494667331765598,-24.740810556079172,0.04519266621223087,-52.5,0.6000000000000014,-912.3049999999998,queda por produtividade,29.0
uf,SE,2024/25,2025/26,194.7,194.5,-0.1,6738.059,5966.581,-11.4,1311.9,1160.5,-11.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-0.10272213662043587,-11.449558396564946,-11.540513758670636,0.3284038142723477,-151.4000000000001,-0.19999999999998863,-771.4780000000001,queda combinada,23.0
uf,BA,2024/25,2025/26,3941.2,4110.9,4.3,3555.262,3505.194,-1.4,14012.0,14409.5,2.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,4.305795189282448,-1.408278771016038,2.836854125035684,4.0776689028499735,397.5,169.69999999999982,-50.06800000000021,expansao por area,15.0
regiao,CENTRO-OESTE,2024/25,2025/26,36724.5,37583.8,2.3,4881.992,4658.065,-4.6,179288.7,175067.8,-2.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.339854865280679,-4.58679571781356,-2.35424764639379,49.541519410830254,-4220.900000000023,859.3000000000029,-223.9270000000006,queda por produtividade,3.0
uf,MT,2024/25,2025/26,22300.1,22748.3,2.0,5040.143,4795.466,-4.9,112395.7,109088.7,-2.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.0098564580427922,-4.854564642312722,-2.9422833791684204,30.870439615693112,-3307.0,448.2000000000007,-244.67699999999968,queda por produtividade,4.0
uf,MS,2024/25,2025/26,6645.0,6845.4,3.0,4303.446,4263.286,-0.9,28596.4,29183.9,2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,3.0158013544018005,-0.9332056217273286,2.0544544068484143,8.258598944715871,587.5,200.39999999999964,-40.159999999999854,expansao por area,12.0
uf,GO,2024/25,2025/26,7593.0,7803.1,2.8,4920.993,4598.57,-6.6,37365.1,35883.1,-4.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.767022257342294,-6.551990624656459,-3.966267988042318,10.1543704505955,-1482.0,210.10000000000036,-322.4230000000007,queda por produtividade,9.0
uf,DF,2024/25,2025/26,186.4,187.0,0.3,4997.318,4877.54,-2.4,931.5,912.1,-2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.3218884120171643,-2.396845668016329,-2.0826623725174427,0.25811039982577194,-19.399999999999977,0.5999999999999943,-119.77800000000025,queda por produtividade,24.0
regiao,SUDESTE,2024/25,2025/26,6994.0,7172.0,2.5,4311.31,4282.669,-0.7,30153.3,30715.3,1.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.545038604518158,-0.6643224449181462,1.8638092679739864,8.691961806565654,562.0,178.0,-28.64100000000053,expansao por area,11.0
uf,MG,2024/25,2025/26,4298.0,4398.5,2.3,4283.062,4280.255,-0.1,18408.6,18826.7,2.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.3382968822708237,-0.06553722547093152,2.2712210597220985,5.327669185834734,418.1000000000022,100.5,-2.806999999999789,expansao por area,14.0
